中信關鍵半導體 		00891.TW 	24000	17.87	-1	10
中信金			2891.TW 	42000	35.03	-1	30	
元大投資型公司債	00720B.TWO 	30000	31.72	-1	30
台新金 			2887.TW 	50122	15.33	-1	30
國泰永續高股息		00878.TW 	20000	21.78	-1	30
中信高評級公司債	00772B.TWO 	51000	33.82	-1	30
永豐ESG低碳高息		00930.TW 	12000	17.21	-1	30
中信中國高股息 		00882.TW 	14000	12.36	-1	30
國泰公司債		00725B.TWO 	21000	36.72	-1	30
統一美國50  		009811.TW 	40000	11.01	-1	30
台灣0056 		0056.TW
元大0050		0050.TW
群益台灣精選高息 	00919.TW 	5600
聯邦台精彩50 		009804.TW 	3000
鴻海			2317.TW 	1000
台積電			2330.TW 	40
南亞科			2408.TW 	175
聯邦銀			2838.TW 	2066
聯邦銀甲特		2838A.TW 	1000
玉山金			2884.TW 	3000
永豐金			2890.TW 	1385
台耀			6274.TWO 	110
力積電			6770.TW 	1000
